id,loan_id,transfer_id,paid_at,amount,payment_channel
fdb433b8-f71c-745b-0e7c-d3a83770b78c,d5e48c6d-4037-9900-abdd-49d757043544,TRX-33008ABD,2026-05-02T13:39:58Z,772500.0,bank_transfer
4556f4b0-61da-3e4d-6507-542f3164c0f2,b0bef0ac-16b0-d3be-fbb7-3e7d2a8ce074,TRX-518FEF9B,2025-11-20T22:57:06Z,8833333.33,agent
254a8f6c-d978-9470-6315-85592f490501,b0bef0ac-16b0-d3be-fbb7-3e7d2a8ce074,TRX-139680EE,2025-12-20T11:10:31Z,8833333.33,virtual_account
ae56898e-8f9b-65ff-a330-9dac52574465,b0bef0ac-16b0-d3be-fbb7-3e7d2a8ce074,TRX-5D1C1E83,2026-01-20T22:31:29Z,8833333.34,bank_transfer
9c3c2be3-7529-89e3-06d3-103113f09aa8,50040035-c319-92e2-9f69-71687aabdc19,TRX-BD7E317A,2026-01-19T17:34:41Z,10300000.0,bank_transfer
779a5368-c33b-6b9e-f8f1-57bfce3edaa6,210baac4-b43b-2b04-ca9c-0e433c46ecc4,TRX-CB5E2BBD,2025-02-11T05:25:50Z,491666.67,bank_transfer
3e8dc8d1-23f9-b2a1-5dc3-ea0da56c28bb,210baac4-b43b-2b04-ca9c-0e433c46ecc4,TRX-488D1989,2025-03-11T17:56:23Z,491666.67,bank_transfer
8b8a6f4a-7034-279a-90e0-abb7ec0a38cf,210baac4-b43b-2b04-ca9c-0e433c46ecc4,TRX-C84A1876,2025-05-25T08:32:19Z,491666.67,bank_transfer
8179c04f-2eb7-9520-3ccd-53fc3e9a7c6f,210baac4-b43b-2b04-ca9c-0e433c46ecc4,TRX-EA494355,2025-05-11T23:49:27Z,196666.67,agent
a73d87ef-a5a5-13fc-fc90-49448c793556,210baac4-b43b-2b04-ca9c-0e433c46ecc4,TRX-8F85DD7B,2025-05-16T02:26:41Z,295000.0,bank_transfer
7982be76-8552-4894-cc0e-f39028b76665,210baac4-b43b-2b04-ca9c-0e433c46ecc4,TRX-C82ACBD7,2025-06-16T16:17:26Z,491666.67,virtual_account
e3830844-b7b1-b678-da2c-c278772f2b00,210baac4-b43b-2b04-ca9c-0e433c46ecc4,TRX-9E22FF5F,2025-07-11T02:06:05Z,491666.67,agent
239e3c5f-e985-8109-e871-a46f4a07b100,210baac4-b43b-2b04-ca9c-0e433c46ecc4,TRX-59C99590,2025-08-11T00:52:37Z,491666.67,agent
381481f8-54af-7ab4-e59a-0a5c2d429084,210baac4-b43b-2b04-ca9c-0e433c46ecc4,TRX-75CD36DC,2025-09-20T02:34:20Z,491666.67,agent
d91d21ab-e3a4-2cb3-91de-a335c52a6953,210baac4-b43b-2b04-ca9c-0e433c46ecc4,TRX-6F1CF14B,2025-10-11T16:55:02Z,491666.67,virtual_account
4811a8d8-8348-6eaf-b5c2-5e736dfe1bde,210baac4-b43b-2b04-ca9c-0e433c46ecc4,TRX-30464967,2025-11-11T21:45:58Z,491666.67,bank_transfer
