id,customer_id,assessed_at,credit_score,grade
4b824485-bd92-e897-9d27-99275040e7b4,73e46a7f-fe78-ea20-e41b-66d413c6bbdc,2025-04-27T03:49:57Z,540,D
756cfb22-f115-6b4b-6524-cc1d7a70004f,73e46a7f-fe78-ea20-e41b-66d413c6bbdc,2025-10-27T17:33:19Z,590,D
3fd74685-2b48-288b-34e6-0004a562bf5d,536142e9-c563-e1f2-d5f9-895a9c17452a,2025-03-12T01:32:44Z,734,B
82be0521-1a99-7a4a-4440-eb379421b114,2ff5ad69-1473-8dc2-0f8c-4445a3914cd9,2024-09-04T23:10:24Z,521,D
8683bcaf-f3ca-29da-18b6-6ba88a202b24,2ff5ad69-1473-8dc2-0f8c-4445a3914cd9,2025-03-04T02:16:59Z,538,D
00b9516b-6089-a8cc-5b72-79d183f70e53,408a6ea4-abb4-a907-95c7-6696feae32d6,2024-12-17T10:12:08Z,513,E
68c3cc54-24a3-ef2c-5845-9c3a9425bdd3,d616f354-ab38-3f5c-a4f8-6bd8c457e2c9,2025-08-28T05:04:01Z,719,B
61c429cb-d439-d89a-ddff-531dabd79a50,d616f354-ab38-3f5c-a4f8-6bd8c457e2c9,2026-02-28T12:05:34Z,765,A
fbf98103-0537-0f2e-41da-bfae9be0b91f,c7ea559f-3e47-235f-30e1-113a025c98e7,2025-01-18T13:19:11Z,630,C
85f5370d-b6c9-de88-860e-a3076f5a8bbd,5c0e4611-d0de-18aa-9e1c-d1409c23bf99,2025-04-22T19:23:23Z,560,D
0ef6eedf-e837-7fef-c7c2-c2f290e04a1f,d77a0517-119b-a95f-e67d-d618733c030c,2025-01-22T18:38:22Z,486,E
c1b4df6d-af74-02fa-5bdd-ce1c58caf4f2,9da9adb8-1245-9949-a05f-2f46b9e2b02b,2024-09-16T22:03:10Z,800,A
5371a6a2-80ea-e09a-c323-948b5dda59a9,9da9adb8-1245-9949-a05f-2f46b9e2b02b,2025-03-16T01:29:33Z,800,A
