loan_id,borrower_account_id,loan_type_id,tenor,nominal_request,nominal_loan,grade,repayment_mode,movement_status_id,created_at,updated_at
aafa9f7c-59c7-2232-346c-ae7ba8fc5f45,ORPHAN-b603c6d5,LT03,1,1000000.0,0.0,A,lump_sum,3,2025-09-17T14:28:00Z,2025-09-19T20:43:00Z
a6a2a83b-aaf0-b843-0dc7-1d19e0c4ca5c,4c243070-64e0-fb6c-1e7b-e0310e8afb79,LT02,12,10000000.0,9000000.0,C,installment,5,2025-05-23T11:51:00Z,2025-05-28T01:20:00Z
538f78c3-842e-89e1-c2c4-8d61f7c337ce,9de3a777-b549-b0f8-2d92-5cc4d2660314,LT03,1,1000000.0,1000000.0,E,lump_sum,6,2025-12-08T11:22:00Z,2025-12-12T01:52:00Z
d9be6684-2d0f-19eb-4b6d-010b18af3ff7,e859717e-f129-c34c-d275-5561d26b5ffd,LT03,1,1000000.0,500000.0,C,lump_sum,6,2026-01-27T11:27:00Z,2026-02-04T01:11:00Z
752989e3-06d3-1031-13f0-9aa881f76d7f,b2c72070-cfe3-f640-fcb5-4a39098c0e27,LT01,6,1000000.0,600000.0,C,installment,6,2025-06-10T07:51:00Z,2025-06-13T14:42:00Z
a642312e-fb3e-6afc-0a56-a3098e6de950,c046228e-09d2-7f0d-9556-c532ab761b0f,LT02,6,5000000.0,4000000.0,C,installment,6,2025-10-08T08:25:00Z,2025-10-13T14:25:00Z
a4bc0f3a-633a-f6f1-27e7-8ecd4f244ba1,d77a0517-119b-a95f-e67d-d618733c030c,LT03,1,1500000.0,1500000.0,E,lump_sum,5,2026-07-15T14:59:00Z,2026-07-23T00:12:00Z
ad6112f2-c057-3b39-4131-ce1cd2c560e4,1313f0f2-8d32-9b52-3616-8b5f9cd73f68,LT02,6,2000000.0,2000000.0,A,installment,5,2026-05-03T14:56:00Z,2026-05-08T07:41:00Z
53678be0-2a49-b959-cd78-42b39cffa3f4,e177e531-c98e-4122-6e75-83421a81a3eb,LT03,1,1000000.0,1000000.0,D,lump_sum,6,2026-03-03T06:09:00Z,2026-03-06T22:07:00Z
6649f33d-a840-ffe4-f1a4-a7b318c568c8,bb5c83dd-ffd9-9676-e695-e2d38756025e,LT01,3,2500000.0,2500000.0,E,installment,6,2025-06-19T12:06:00Z,2025-06-25T22:00:00Z
76412469-5e2f-3eac-c660-7a01782b3f48,8d22930d-14ff-ad95-b269-f2812dffd68f,LT03,1,500000.0,375000.0,A,lump_sum,6,2026-02-03T11:21:00Z,2026-02-07T23:19:00Z
6bd26fbc-98ce-311f-9db6-6e73f6a154b8,ee281b23-090f-f4af-c14a-0ee7c08b66c4,LT01,6,5000000.0,5000000.0,B,lump_sum,5,2026-04-01T07:21:00Z,2026-04-01T18:04:00Z
a7599586-9102-a95b-5886-5b7f9001f4bc,a341033d-8d69-1b43-0a8d-c33b6f4829ee,LT02,12,2000000.0,2000000.0,B,installment,5,2026-02-02T07:06:00Z,2026-02-05T16:31:00Z
69722982-2d58-d92b-a669-c0df0de26a2b,a632394a-ad9d-4392-61f1-f98aebd5366d,LT03,1,2000000.0,2000000.0,B,lump_sum,6,2025-10-18T14:49:00Z,2025-10-24T04:13:00Z
70a205cb-8491-1829-e777-8bb81df59929,19dda65c-5bef-0b2a-8fdc-70f9b563eecc,LT01,3,10000000.0,10000000.0,A,installment,6,2025-12-22T13:20:00Z,2026-01-01T07:00:00Z
481f62df-27f5-1bff-d04f-bdbffb2e4d32,71f63cb1-453d-e60d-a541-da6b1cbe4e4a,LT02,3,25000000.0,25000000.0,E,installment,5,2026-06-02T07:22:00Z,2026-06-04T21:36:00Z
641ac3b1-25bd-e37d-2415-0dac9bb160eb,787699bb-e157-6d25-5534-08139dc48e37,LT03,1,1000000.0,1000000.0,B,lump_sum,6,2025-04-25T07:26:00Z,2025-05-01T18:40:00Z
aaed3cd3-5529-ffab-ddca-c225e492d3bc,0973367b-7d99-20a7-162b-25b604b51506,LT03,1,1500000.0,1500000.0,B,lump_sum,7,2026-01-30T07:40:00Z,2026-01-31T21:12:00Z
4474cd8c-ed53-8ff4-8ecc-87d071145d85,b5913249-9019-975d-789d-077ef46462e2,LT03,1,1500000.0,1500000.0,C,lump_sum,6,2026-04-29T11:12:00Z,2026-05-01T23:34:00Z
78b1a079-de50-4ec1-af76-6ab08e88b624,9a0952fd-de57-6505-ce91-9771da00b936,LT02,3,2000000.0,2000000.0,D,installment,7,2025-04-22T06:07:00Z,2025-04-29T18:52:00Z
fa3693bd-4de4-ba71-81df-9a01133837d6,49db77b0-261c-2270-55df-69ee2422e927,LT01,1,10000000.0,6000000.0,E,installment,6,2025-12-26T07:53:00Z,2025-12-30T17:49:00Z
f9f19228-8761-7535-035c-225452b67d01,a341033d-8d69-1b43-0a8d-c33b6f4829ee,LT01,6,2500000.0,2500000.0,C,installment,5,2026-07-13T11:07:00Z,2026-07-16T20:07:00Z
bc49ae79-81fc-4a7f-30db-a7ea5a16bcc6,8d22930d-14ff-ad95-b269-f2812dffd68f,LT03,1,1500000.0,1500000.0,C,lump_sum,6,2026-05-29T14:25:00Z,2026-06-04T03:08:00Z
6449f829-a6e3-bf57-bf9a-e2e0d7d47d67,5c0e4611-d0de-18aa-9e1c-d1409c23bf99,LT01,1,10000000.0,0.0,B,lump_sum,3,2026-06-26T09:13:00Z,2026-06-27T14:08:00Z
fa934dcb-d1e9-f8c7-af9a-30e718b59d5e,4b30ad97-8ece-331b-e717-410a108ee8b8,LT03,1,2000000.0,1000000.0,A,lump_sum,8,2025-10-23T07:52:00Z,2025-10-28T16:13:00Z
d322e7a2-4d51-6faf-fec2-c93dbb8b706a,396d8df1-6ea3-05d9-3964-b226e445d185,LT03,1,500000.0,0.0,B,lump_sum,3,2026-05-04T06:31:00Z,2026-05-05T09:09:00Z
44e9de81-fd4f-b29b-d525-ecbe2490be31,aa491bcf-31f9-3e32-fc53-c77c9e66b2ab,LT03,1,500000.0,500000.0,D,lump_sum,6,2025-03-29T07:27:00Z,2025-04-01T18:32:00Z
3e858ab8-34ba-9827-f03f-a41d4316f58c,8a1b1284-4990-abc9-9a0e-51a14b55f159,LT03,1,1500000.0,0.0,A,lump_sum,3,2025-04-05T07:57:00Z,2025-04-07T09:04:00Z
5b0d3af0-9cd4-0dff-f501-cb35f7fb2bf6,405783c5-cb27-c84f-5a04-ec24779d04a8,LT01,1,10000000.0,10000000.0,C,installment,6,2026-04-04T11:32:00Z,2026-04-09T23:38:00Z
f4c5c2d4-f836-315a-299c-4d5efea4284c,d49ff5b1-e55c-b5df-1c8f-a59d8bc7ec36,LT01,3,10000000.0,8000000.0,E,installment,6,2025-04-24T12:08:00Z,2025-04-29T01:38:00Z
79bd5203-5c08-e337-e3e0-97a4efc3b529,0973367b-7d99-20a7-162b-25b604b51506,LT01,3,5000000.0,0.0,A,installment,3,2025-08-13T11:55:00Z,2025-08-15T14:46:00Z
d7229387-f21a-4b0b-c8be-af38b93fd3f4,3b272cc1-45d2-b7e1-8f5e-52f61480f735,LT02,12,2000000.0,1800000.0,A,installment,7,2025-01-07T11:05:00Z,2025-01-09T23:30:00Z
