id,loan_id,movement_id,created_at,updated_at
70e8fccd-19c9-1501-e3b8-815a678ec481,aafa9f7c-59c7-2232-346c-ae7ba8fc5f45,1,2025-09-17T14:28:00Z,2025-09-17T14:28:00Z
d07094b3-56b0-53d6-b682-367a6c5b9ce8,aafa9f7c-59c7-2232-346c-ae7ba8fc5f45,3,2025-09-19T20:43:00Z,2025-09-19T20:43:00Z
a5e24f3c-04a2-4da0-2312-d504a516bf62,a6a2a83b-aaf0-b843-0dc7-1d19e0c4ca5c,1,2025-05-23T11:51:00Z,2025-05-23T11:51:00Z
5b4473d7-096b-a558-aac1-e51ba9c250c7,a6a2a83b-aaf0-b843-0dc7-1d19e0c4ca5c,2,2025-05-26T16:59:00Z,2025-05-26T16:59:00Z
f87d5393-8f0c-ee2c-e11f-660f29aaf768,a6a2a83b-aaf0-b843-0dc7-1d19e0c4ca5c,4,2025-05-26T19:51:00Z,2025-05-26T19:51:00Z
1ff22e70-dd1e-822e-d92d-5404ebf7e374,a6a2a83b-aaf0-b843-0dc7-1d19e0c4ca5c,5,2025-05-28T01:20:00Z,2025-05-28T01:20:00Z
687afc3d-7696-3cdf-50d6-03e387b751e9,a6a2a83b-aaf0-b843-0dc7-1d19e0c4ca5c,6,2026-05-28T04:20:37Z,2026-05-28T09:57:23Z
dac04fa7-d2cd-2e00-9d02-2cb4e8a7b464,538f78c3-842e-89e1-c2c4-8d61f7c337ce,1,2025-12-08T11:22:00Z,2025-12-08T11:22:00Z
3a80519b-d3a5-5c9b-e688-2d54ac6c6eae,538f78c3-842e-89e1-c2c4-8d61f7c337ce,2,2025-12-08T12:59:00Z,2025-12-08T12:59:00Z
d4e97e75-f4e8-4c3a-dcf8-b9fde9309b45,538f78c3-842e-89e1-c2c4-8d61f7c337ce,4,2025-12-09T18:54:00Z,2025-12-09T18:54:00Z
68baa949-c696-9630-4524-7c566a94eae0,538f78c3-842e-89e1-c2c4-8d61f7c337ce,5,2025-12-12T01:52:00Z,2025-12-12T01:52:00Z
293459a1-8c14-86c3-45af-7b60012d8b06,538f78c3-842e-89e1-c2c4-8d61f7c337ce,6,2026-01-12T12:26:08Z,2026-01-12T23:06:14Z
4e7529af-68d1-d0c9-d6d8-70875298f9ac,d9be6684-2d0f-19eb-4b6d-010b18af3ff7,1,2026-01-27T11:27:00Z,2026-01-27T11:27:00Z
6abd4bd8-03ac-497b-5e5a-a976d8be5d45,d9be6684-2d0f-19eb-4b6d-010b18af3ff7,2,2026-01-29T17:31:00Z,2026-01-29T17:31:00Z
ce21231e-dd5f-5867-56b5-a743cc4272a3,d9be6684-2d0f-19eb-4b6d-010b18af3ff7,4,2026-01-31T19:28:00Z,2026-01-31T19:28:00Z
94b2be8d-deb4-f0d4-55e0-3974ddbcca05,d9be6684-2d0f-19eb-4b6d-010b18af3ff7,5,2026-02-04T01:11:00Z,2026-02-04T01:11:00Z
4dfc5c9f-a12e-5abe-9eb9-f837a5a755d3,d9be6684-2d0f-19eb-4b6d-010b18af3ff7,6,2026-03-04T23:29:15Z,2026-03-04T00:26:53Z
fc417d48-dc26-6766-ba94-78a43c4ec37c,752989e3-06d3-1031-13f0-9aa881f76d7f,1,2025-06-10T07:51:00Z,2025-06-10T07:51:00Z
46c6b5fe-898c-5df4-a1ee-841f0bbdf01e,752989e3-06d3-1031-13f0-9aa881f76d7f,2,2025-06-11T09:39:00Z,2025-06-11T09:39:00Z
b6548771-b1a5-21fc-e51c-da0ef05659d9,752989e3-06d3-1031-13f0-9aa881f76d7f,4,2025-06-13T11:28:00Z,2025-06-13T11:28:00Z
109f164e-0d84-d0bb-e224-0d1fcda710d2,752989e3-06d3-1031-13f0-9aa881f76d7f,5,2025-06-13T14:42:00Z,2025-06-13T14:42:00Z
ff2eeb30-9bf2-eb1e-0f53-983bad6a9978,752989e3-06d3-1031-13f0-9aa881f76d7f,6,2025-12-13T03:29:29Z,2025-12-13T02:08:39Z
f7b2103f-8856-1d1e-488d-1989152029c5,a642312e-fb3e-6afc-0a56-a3098e6de950,1,2025-10-08T08:25:00Z,2025-10-08T08:25:00Z
