id,loan_id,premium,vendor,status,created_at,updated_at
9f1a3a4c-3117-92b4-8052-0fd74e304a29,a6a2a83b-aaf0-b843-0dc7-1d19e0c4ca5c,45000.0,Jaminan Nusantara,closed,2025-05-28 15:23:54,2025-05-28 12:26:56
045badcd-0d44-01a0-ffe3-8f46db0af92b,d9be6684-2d0f-19eb-4b6d-010b18af3ff7,2500.0,Asuransi Sinar,closed,2026-02-04 16:56:34,2026-02-04 20:21:17
e2c92a67-93b0-4233-0c67-ecb1a9d20ae1,752989e3-06d3-1031-13f0-9aa881f76d7f,3000.0,Jaminan Nusantara,closed,2025-06-13 10:37:00,2025-06-13 18:07:44
c772c523-7de2-4449-4140-2efba7828e22,a4bc0f3a-633a-f6f1-27e7-8ecd4f244ba1,7500.0,Jaminan Nusantara,active,2026-07-23 17:38:50,2026-07-23 14:28:00
44a9f0ac-2275-89ab-49d8-5b21161eb5ad,ad6112f2-c057-3b39-4131-ce1cd2c560e4,10000.0,Proteksi Jaya,active,2026-05-08 13:31:47,2026-05-08 14:24:45
9ea9dc00-25a0-64d1-ff06-5334784e10cc,53678be0-2a49-b959-cd78-42b39cffa3f4,5000.0,Asuransi Sinar,closed,2026-03-06 09:43:35,2026-03-06 14:47:05
9e6a53d2-f65b-d410-b56e-fb0294b8a1ef,76412469-5e2f-3eac-c660-7a01782b3f48,1875.0,Proteksi Jaya,closed,2026-02-07 13:52:02,2026-02-07 21:12:05
e3943957-f9ea-611b-f11a-3569251d741e,6bd26fbc-98ce-311f-9db6-6e73f6a154b8,25000.0,Proteksi Jaya,active,2026-04-01 14:43:35,2026-04-01 22:31:07
88df693d-39fa-f22b-1566-507bb818e4ea,a7599586-9102-a95b-5886-5b7f9001f4bc,10000.0,Jaminan Nusantara,active,2026-02-05 10:36:10,2026-02-05 22:13:06
f6d2f1a8-9081-6de4-4364-5e42c948ce91,69722982-2d58-d92b-a669-c0df0de26a2b,10000.0,Proteksi Jaya,closed,2025-10-24 22:42:14,2025-10-24 07:28:28
97f77d7f-bba3-7603-5f56-280b7c584f31,70a205cb-8491-1829-e777-8bb81df59929,50000.0,Proteksi Jaya,closed,2026-01-01 17:31:27,2026-01-01 19:35:26
e8c80384-9330-8279-4079-14867a95a1ac,641ac3b1-25bd-e37d-2415-0dac9bb160eb,5000.0,Asuransi Sinar,closed,2025-05-01 20:44:24,2025-05-01 19:00:15
01ec5f09-1320-a317-f474-6b6109d1ec37,aaed3cd3-5529-ffab-ddca-c225e492d3bc,7500.0,Jaminan Nusantara,closed,2026-01-31 06:00:13,2026-01-31 06:22:53
87af7c85-1d6d-b83d-b07d-da5e33c315b6,4474cd8c-ed53-8ff4-8ecc-87d071145d85,7500.0,Proteksi Jaya,closed,2026-05-01 12:21:29,2026-05-01 16:54:30
57164f06-9355-8fa4-8abd-2fe6202e25a9,78b1a079-de50-4ec1-af76-6ab08e88b624,10000.0,Proteksi Jaya,closed,2025-04-29 13:05:29,2025-04-29 20:04:06
8ef94235-c162-aede-d495-cf4af0d7609f,fa3693bd-4de4-ba71-81df-9a01133837d6,30000.0,Jaminan Nusantara,closed,2025-12-30 20:54:21,2025-12-30 12:24:10
b9818f2e-c7e6-acb0-149c-dd53606feabd,bc49ae79-81fc-4a7f-30db-a7ea5a16bcc6,7500.0,Proteksi Jaya,closed,2026-06-04 13:57:22,2026-06-04 12:29:07
e43d3dfe-794d-0ae0-403c-2bfe11a6813d,44e9de81-fd4f-b29b-d525-ecbe2490be31,2500.0,Asuransi Sinar,closed,2025-04-01 20:58:40,2025-04-01 20:26:59
1db00ae4-bb5a-6610-00e8-17b2525a18db,5b0d3af0-9cd4-0dff-f501-cb35f7fb2bf6,50000.0,Proteksi Jaya,closed,2026-04-09 09:17:31,2026-04-09 13:09:48
cdb73780-d47f-a3f3-2dcf-04d3f8b71f04,d7229387-f21a-4b0b-c8be-af38b93fd3f4,9000.0,Proteksi Jaya,closed,2025-01-09 16:49:28,2025-01-09 14:14:19
5bb19935-66a7-a1e6-84ba-bee54ee63dbd,f2378f67-e149-6332-342e-c03242ae54b0,50000.0,Proteksi Jaya,closed,2025-03-11 13:55:03,2025-03-11 18:30:48
9259c3cb-2e82-74d0-b6e8-547cd4bffd9b,29a27873-f97b-5854-a8b0-960eb6c91cbf,7500.0,Proteksi Jaya,closed,2026-06-16 20:46:10,2026-06-16 10:20:07
26bae970-075a-fd7e-2465-e7e553328b6d,3261fa32-efde-6781-8155-1ab5beeaac71,5000.0,Proteksi Jaya,closed,2026-06-01 13:44:47,2026-06-01 08:25:02
bf24bc37-f69d-cc50-fb10-262c4b95d72e,abb0ba86-5f35-f9bc-f51f-583e95b91496,50000.0,Proteksi Jaya,closed,2025-01-01 18:38:55,2025-01-01 13:43:37
5eb7c5d7-eb92-7907-f123-0cef1c191767,326db22c-2a88-5568-c032-b93bd244590f,25000.0,Jaminan Nusantara,active,2026-07-13 19:44:47,2026-07-13 22:17:31
f79a7165-2344-1d15-1ba6-03205c156d44,6b29aae6-f3ef-c1b9-27ad-bf5082638c52,25000.0,Proteksi Jaya,closed,2025-09-25 22:15:56,2025-09-25 13:52:22
65abdfdc-68e0-2410-0782-ed173d8ec0b4,dad0e762-9340-3070-4e28-a168f9955f43,12500.0,Asuransi Sinar,closed,2025-11-05 15:11:15,2025-11-05 14:15:06
b78d2dfe-c68a-175d-4bbd-8e57a3f34dd6,d7fa445e-6114-326f-4166-7a050bf04445,25000.0,Jaminan Nusantara,closed,2025-09-27 08:45:09,2025-09-27 13:03:29
3d319f0b-f4e0-6319-9504-e9ab70615bdb,61299132-04d5-3e10-0415-a108e9d77502,10000.0,Proteksi Jaya,closed,2026-01-30 14:37:36,2026-01-30 11:51:19
736893a6-d140-6c6c-0071-a19d0d84df96,4e08b287-d10a-3542-72ef-81c040a69e93,7500.0,Jaminan Nusantara,active,2026-06-02 22:53:29,2026-06-02 21:55:39
7e19100f-7364-ad45-2d09-d6eaff878345,e61c2705-1fc0-ad32-e3aa-d68d4c74feae,6000.0,Asuransi Sinar,active,2026-07-05 15:10:21,2026-07-05 08:54:10
