id,funding_id,amount,is_settled,is_signed,created_at,updated_at
1065d65e-b9b8-44d7-e956-54c085e76ce3,66798dad-66ba-3ee1-0aed-e00ee1d82ff4,750000.0,True,False,2026-04-01T06:34:27Z,2026-04-01T12:04:35Z
af118e1a-b5b0-ef7e-3f9f-a48ed6257796,1b1a2269-efe6-6eb6-9992-769284a8fd79,3666666.67,True,True,2025-10-18T21:40:31Z,2025-10-18T04:28:50Z
831e5967-2a62-5b8b-8c12-2e71b1e3db12,1b1a2269-efe6-6eb6-9992-769284a8fd79,3666666.67,True,True,2025-10-19T21:06:19Z,2025-10-19T05:48:33Z
fd7a9d92-ff7e-4356-49be-fe21538f78c3,1b1a2269-efe6-6eb6-9992-769284a8fd79,3666666.66,True,True,2025-10-20T22:21:16Z,2025-10-20T21:38:23Z
a7e8c5da-ea0f-904e-b673-d643ce3afdbd,1b5adae7-0992-160f-b464-ba315a23fa87,7000000.0,True,True,2025-10-18T19:52:54Z,2025-10-18T21:57:52Z
f4e84c3a-dcf8-b9fd-e930-9b453a80519b,1b5adae7-0992-160f-b464-ba315a23fa87,7000000.0,True,True,2025-10-19T13:00:17Z,2025-10-19T17:10:24Z
26df8fce-1ef5-76d0-e5bd-7e663659180d,4dfbe536-e686-c701-83b4-cce29af0f832,10000000.0,True,True,2025-11-30T21:26:53Z,2025-11-30T16:47:40Z
61a2a359-00dc-55b3-9ce8-43a92fcc4776,9a8ecbdb-35a2-ab4b-5e99-73da5cc384dd,1050000.0,True,True,2025-01-10T22:18:36Z,2025-01-10T01:32:43Z
483e2263-9747-8971-7d9a-255b8b9cc7c2,9a8ecbdb-35a2-ab4b-5e99-73da5cc384dd,1050000.0,False,True,2025-01-11T08:53:44Z,2025-01-11T02:02:33Z
844a066f-caf9-1d04-d4ae-286cbdbc0ec3,938001b8-053f-709c-e955-3761f6265260,250000.0,True,False,2025-01-10T01:30:30Z,2025-01-10T06:08:54Z
5e76ca38-64b4-f927-9c40-0022909c4159,6c2c922c-2d01-5a5a-b0e3-749e4f063b44,1800000.0,True,True,2025-01-10T05:22:18Z,2025-01-10T20:49:56Z
f22d2658-d39f-ce8e-3de5-79d8cd69dfc2,33c73498-bb22-332c-f541-bbb08ee58e64,850000.0,True,True,2025-01-10T06:14:27Z,2025-01-10T08:41:29Z
a6c3775e-8494-4542-2d2c-76fa410b69f5,58596743-95c8-924f-b370-bb6ecea110f2,870000.0,True,True,2025-09-04T15:21:02Z,2025-09-04T04:44:55Z
c213828a-0453-ad42-9e0f-1f3782e80c2d,06b6a8f8-b9da-da90-ea48-cc9c3aa7f349,43333.33,True,True,2025-09-04T01:08:36Z,2025-09-04T06:51:46Z
ea3366b7-f8c2-92e0-faa0-c8ee520620dc,06b6a8f8-b9da-da90-ea48-cc9c3aa7f349,43333.33,True,True,2025-09-05T11:13:47Z,2025-09-05T11:57:27Z
af7c6944-be1b-340c-e485-410acf47bdb9,06b6a8f8-b9da-da90-ea48-cc9c3aa7f349,43333.34,True,True,2025-09-06T15:54:00Z,2025-09-06T12:46:44Z
2868a04b-d7a3-5dfa-b628-b97deda64cfd,30163230-7cb4-41c7-bb7c-3584d68b0a0d,1500000.0,False,True,2026-03-25T01:57:58Z,2026-03-25T11:45:36Z
f793aa89-43c4-e014-c7b2-d07295d9fe9d,f5f1107d-b147-ade2-6011-928cdb8fa17a,52500.0,True,True,2026-05-29T18:17:49Z,2026-05-29T14:03:33Z
83f0a917-26f5-8ac9-6eaa-f87c4610382e,f5f1107d-b147-ade2-6011-928cdb8fa17a,52500.0,True,True,2026-05-30T04:39:53Z,2026-05-30T05:06:43Z
8a0f3ebe-19a0-4072-0332-3e356de0ed88,bc007adf-fa10-d608-4755-1e568fdcfe36,131666.67,True,True,2026-05-29T13:36:35Z,2026-05-29T16:53:25Z
074f5641-a9c3-15fc-643d-fea6335739f5,bc007adf-fa10-d608-4755-1e568fdcfe36,131666.67,True,True,2026-05-30T15:54:46Z,2026-05-30T00:28:21Z
7a799cb6-b38a-9755-68ae-ce7527e0a329,bc007adf-fa10-d608-4755-1e568fdcfe36,131666.66,False,True,2026-05-31T16:22:29Z,2026-05-31T03:13:50Z
0da0c1de-323c-7633-1a44-bec4ab537f22,0ce5f6ee-2d2c-6ad1-6321-43d71303bb18,196666.67,True,True,2025-04-13T15:01:19Z,2025-04-13T22:15:13Z
c2093e16-1e78-9d10-d283-ed1f30ada963,0ce5f6ee-2d2c-6ad1-6321-43d71303bb18,196666.67,True,True,2025-04-14T20:34:43Z,2025-04-14T04:05:08Z
588dd287-47fc-2ad5-3ff1-9859d736ce3c,0ce5f6ee-2d2c-6ad1-6321-43d71303bb18,196666.66,True,True,2025-04-15T15:24:20Z,2025-04-15T07:53:13Z
a214e336-bfe8-3698-b69d-981cfcaaceb9,55162267-452e-09e8-d1a6-0bfa24259fd6,56666.67,True,True,2025-04-13T12:03:22Z,2025-04-13T07:25:45Z
05b81997-d52f-33d2-52e2-05ae2521206c,55162267-452e-09e8-d1a6-0bfa24259fd6,56666.67,True,False,2025-04-14T08:15:00Z,2025-04-14T12:37:46Z
3b9b1c69-f0b4-a34a-b248-d206772eef2e,55162267-452e-09e8-d1a6-0bfa24259fd6,56666.66,True,True,2025-04-15T18:56:15Z,2025-04-15T06:16:16Z
4c86677b-c73e-ef7a-f230-b1144fe1a31d,15b40533-0251-d7de-1398-5c711267b967,240000.0,True,True,2025-04-13T05:11:19Z,2025-04-13T17:51:06Z
836ae8d9-888f-bb20-18a8-1a13fe71fc1f,49e1ccfb-9b6c-f9b2-3503-84626efc05ce,255000.0,True,True,2025-11-01T11:08:12Z,2025-11-01T04:56:25Z
e81143fb-8ef0-48c8-adff-e6a1401abd2f,49e1ccfb-9b6c-f9b2-3503-84626efc05ce,255000.0,True,False,2025-11-02T16:31:07Z,2025-11-02T04:22:49Z
10de0132-51bd-7363-c2c4-1165d2623cfc,49e1ccfb-9b6c-f9b2-3503-84626efc05ce,255000.0,True,True,2025-11-03T02:04:50Z,2025-11-03T19:22:41Z
3dff7216-5ebf-1fe9-976a-d9d8d0f72c9b,02d79d34-c630-3da9-5a45-31287d5d0b63,480000.0,True,True,2025-11-01T20:23:05Z,2025-11-01T18:05:36Z
6342c5d4-1797-0a99-412d-5b63aebcf568,8fe32207-a759-9586-9102-a95b58865b7f,82500.0,True,True,2025-11-01T22:05:06Z,2025-11-01T14:02:23Z
3df58b45-4954-bb20-f267-b3291acd89e0,8fe32207-a759-9586-9102-a95b58865b7f,82500.0,True,True,2025-11-02T23:10:10Z,2025-11-02T15:23:31Z
6d8d2c91-1833-bdf4-79d7-5632933c5b72,b919ccd5-bc0d-660d-70cb-dce76aea7769,45000.0,True,True,2025-11-01T08:36:57Z,2025-11-01T05:58:36Z
1566507b-b818-e4ea-625d-5fb1355b133b,b919ccd5-bc0d-660d-70cb-dce76aea7769,45000.0,True,True,2025-11-02T18:10:33Z,2025-11-02T06:06:38Z
b8857049-b06f-2d08-1184-aad48e171541,43e3a62c-96e7-65ba-fe38-2edbf9565aba,40500.0,True,True,2026-04-20T11:42:26Z,2026-04-20T18:08:23Z
377d4ccb-fc15-e03b-1caa-4ed2f94a303e,43e3a62c-96e7-65ba-fe38-2edbf9565aba,40500.0,True,True,2026-04-21T06:06:22Z,2026-04-21T23:39:57Z
eeb0b4db-68ec-b134-1f2c-811711896f87,8c0dff0b-48d5-b0d0-9e6e-8637e5cfb9ab,364500.0,True,True,2026-04-20T05:00:25Z,2026-04-20T15:36:01Z
54e81164-9a23-d3b4-46dc-4c1b02fe6876,83c4bbcc-489b-c0dc-fa5d-8a6cabfde303,904500.0,True,False,2026-04-20T19:46:50Z,2026-04-20T15:43:03Z
4a83dfab-43ea-7c46-8980-55911f7cd112,36fffea0-5f9f-0a4b-a880-fe9c94379cbf,400000.0,True,True,2025-12-17T15:47:24Z,2025-12-17T23:30:43Z
2beca863-5018-f8ff-9537-25be92f13841,36fffea0-5f9f-0a4b-a880-fe9c94379cbf,400000.0,True,False,2025-12-18T00:09:16Z,2025-12-18T23:55:30Z
5b8d2189-f381-c087-80fb-d95241ce034d,36fffea0-5f9f-0a4b-a880-fe9c94379cbf,400000.0,False,True,2025-12-19T15:01:02Z,2025-12-19T11:07:57Z
58c6d8a6-5e8c-a3e7-7bde-507279a7c340,6ed8ba80-ab5b-f5eb-70a2-05cb84911829,800000.0,True,True,2025-12-17T17:39:35Z,2025-12-17T14:41:37Z
7ff79fd0-2e6f-e50f-ce4d-43a610ac0ca8,bc0f7905-9b76-f4cc-5e32-78de69327c7d,500000.0,False,True,2025-03-16T05:06:36Z,2025-03-16T14:35:19Z
72683a39-846d-91f4-ec9d-8343a602b28c,d7287c60-1054-04d1-fd97-bfa7e8c80384,123333.33,True,True,2026-01-05T17:47:24Z,2026-01-05T19:08:38Z
60a88f49-7ee6-df06-73ff-30e58027e7de,d7287c60-1054-04d1-fd97-bfa7e8c80384,123333.33,True,True,2026-01-06T19:32:35Z,2026-01-06T19:25:51Z
