id,name,email,phone_number,country_id,province_id,city_id,district_id,is_borrower,is_lender,identity_card_type,founded,pic_name,nib_number,created_at,updated_at
c4e4e575-195e-a4d3-8922-4217be26e7c6,PT Sejahtera Nusantara 00,corp000@example.co.id,02178809086,ID,P35,C3579,D35794,True,True,NIB,11/2006,Siti Pratama,2206072306536,2025-03-28 08:00:51,2025-03-28 11:28:55
bb5c83dd-ffd9-9676-e695-e2d38756025e,PT Maju Makmur 01,corp001@example.co.id,02167807203,ID,P32,C3273,D32739,True,False,NIB,06/2006,Rizky Wijaya,9006299550665,2025-02-24 15:43:20,2026-01-16 07:06:04
f15ee274-5de1-9169-4ded-c3e333890022,PT Maju Abadi 02,corp002@example.co.id,02166203224,ID,P33,C3374,D33744,False,True,NIB,2005,Fajar Pratama,2157096907032,2025-10-03 10:26:58,2025-10-03 20:34:35
adc19944-5eaa-154d-6e3a-e2d2f27787a2,PT Sejahtera Abadi 03,corp003@example.co.id,02171271530,ID,P12,C1212,D12129,True,False,NIB,11/2007,Budi Nugroho,3370782571748,2026-02-03 13:09:36,2026-02-03 22:46:15
e891659a-a241-1969-f96b-2440bf25700b,PT Maju Nusantara 04,corp004@example.co.id,02154140022,ID,P31,C3173,D31735,False,True,NIB,05/2010,Siti Rahayu,8333544283882,2025-07-11 07:30:03,2025-07-11 12:23:37
338cefb5-4559-85cb-9536-92246ec971e2,PT Jaya Makmur 05,corp005@example.co.id,02141587139,ID,P12,C1275,D12759,False,True,NIB,2018-07-01,Dewi Nugroho,3172242693355,2025-07-16 17:16:12,2025-07-16 16:21:08
e4732d6f-c6f8-c343-9a06-fb71325193bc,PT Jaya Makmur 06,corp006@example.co.id,02149894281,ID,P33,C3319,D33191,True,True,NIB,1997-10-01,Dewi Setiawan,7277242206281,2025-01-12 22:28:43,2025-01-12 14:53:17
c391d739-3a3e-ecf4-2a80-7b75deb92a3d,PT Maju Makmur 07,corp007@example.co.id,02145873099,ID,P35,C3578,D35789,True,False,NIB,2007,Dewi Setiawan,2523480753216,2024-10-24 16:33:46,2024-10-24 11:25:14
70dd0d3c-4f8b-8d2e-71c0-7c66d4dba25c,PT Sejahtera Sentosa 08,corp008@example.co.id,02168520950,ID,P33,C3319,D33192,True,False,NIB,2020,Agus Pratama,8094392320993,2024-08-13 20:53:49,2024-08-13 17:11:19
8388de7f-2850-faaf-d107-5f01309fc847,PT Mandiri Sentosa 09,corp009@example.co.id,02142420554,ID,P31,C3172,D31726,False,True,NIB,04/1996,Ayu Pratama,3302681362518,2026-01-25 08:20:53,2026-01-25 07:43:39
c046228e-09d2-7f0d-9556-c532ab761b0f,PT Sejahtera Sentosa 10,corp010@example.co.id,02183538422,ID,P33,C3319,D33194,True,False,NIB,1999-03-01,Yoga Pratama,5337321362009,2025-03-11 19:51:40,2025-08-25 12:21:40
3d97d879-ea39-b6b5-d5ca-314608b0dde5,PT Maju Makmur 11,corp011@example.co.id,02148879169,ID,P33,C3322,D33221,True,True,NIB,2010,Andi Nugroho,2428305049680,2025-08-06 20:50:49,2025-08-06 10:53:14
69158788-4376-44c0-90c9-28dca674741b,PT Maju Nusantara 12,corp012@example.co.id,02131836799,ID,P33,C3374,D33743,True,False,NIB,2012,Andi Saputra,1861902738438,2024-11-26 10:43:35,2025-07-16 06:29:49
2cae1100-0c80-fd16-8579-9d61c4d87b1e,PT Jaya Abadi 13,corp013@example.co.id,02116064469,ID,P33,C3322,D33223,True,True,NIB,2011,Rizky Rahayu,5849101277535,2024-12-11 16:48:02,2026-05-04 13:51:51
b17b0446-75a5-3c78-5fd2-65464ae0ba0e,PT Berkah Makmur 14,corp014@example.co.id,02123062712,ID,P33,C3374,D33745,True,False,NIB,1997,Dewi Rahayu,2273917257815,2024-11-04 18:16:03,2024-11-04 17:04:31
3d67ff3a-3b07-ad70-11f8-a09cfa601dc6,PT Berkah Makmur 15,corp015@example.co.id,02119244916,ID,P33,C3374,D33745,True,True,NIB,2008-04-01,Rina Saputra,6532817602539,2024-08-13 21:32:02,2024-08-13 15:56:25
d5ad07d2-1a91-c891-6a39-e46e1b009e60,PT Sejahtera Nusantara 16,corp016@example.co.id,02180581727,ID,P32,C3204,D32043,False,True,NIB,10/1996,Putri Hidayat,9295115281362,2025-11-18 20:45:45,2025-11-18 20:12:02
873a3c66-39f9-9096-4eca-6993e4c7ad76,PT Jaya Abadi 17,corp017@example.co.id,02143829304,ID,P35,C3579,D35791,True,False,NIB,2008-09-01,Rizky Pratama,6729103720694,2025-01-02 10:18:12,2025-06-04 19:09:53
84035c53-1e48-0957-524d-b451052a7b60,PT Jaya Nusantara 18,corp018@example.co.id,02162368988,ID,P33,C3322,D33224,True,True,NIB,2018,Fajar Setiawan,4049239620344,2026-01-03 08:00:02,2026-05-22 10:30:55
36907bc9-6a25-5486-6c37-feac21ba4a76,PT Berkah Abadi 19,corp019@example.co.id,02157488068,ID,P33,C3322,D33227,True,False,NIB,2015-01-01,Lestari Pratama,2734266194929,2024-06-25 12:43:59,2024-06-25 10:08:21
d98f6247-7f7d-56b0-1d8a-1bea7ab44331,PT Sejahtera Nusantara 20,corp020@example.co.id,02148435687,ID,P31,C3171,D31716,False,True,NIB,1995-05-01,Rina Rahayu,1310911156032,2025-12-22 11:31:08,2025-12-22 20:06:28
0973367b-7d99-20a7-162b-25b604b51506,PT Sejahtera Sentosa 21,corp021@example.co.id,02148430561,ID,P12,C1212,D12126,True,False,NIB,2018,Andi Setiawan,8101413109993,2025-01-09 11:58:15,2025-11-05 06:55:35
a341033d-8d69-1b43-0a8d-c33b6f4829ee,PT Sejahtera Abadi 22,corp022@example.co.id,02120567899,ID,P12,C1275,D12754,True,True,NIB,09/2006,Rina Lestari,3434064407000,2024-07-14 20:15:00,2024-07-14 14:53:24
24132368-ba07-8e5b-b9d6-d1bfb67bce76,PT Berkah Makmur 23,corp023@example.co.id,02151494370,ID,P12,C1207,D12078,True,False,NIB,07/1998,Yoga Santoso,7914069506336,2025-03-19 22:16:00,2025-03-19 14:28:04
405783c5-cb27-c84f-5a04-ec24779d04a8,PT Jaya Sentosa 24,corp024@example.co.id,02190729718,ID,P31,C3171,D31719,True,True,NIB,04/1995,Siti Pratama,8259987259432,2026-03-25 09:34:40,2026-03-25 18:25:14
393dc164-d14e-bab5-494d-08e95ff6040c,PT Maju Makmur 25,corp025@example.co.id,02138770548,ID,P32,C3204,D32048,False,True,NIB,02/2010,Siti Hidayat,5565209752572,2025-08-09 07:26:49,2025-08-09 11:40:04
d43ba268-7b2e-2162-3bb7-decda8a37b1e,PT Jaya Nusantara 26,corp026@example.co.id,02145752599,ID,P33,C3319,D33197,False,True,NIB,07/2006,Agus Setiawan,6037652955952,2024-07-21 21:37:03,2024-07-21 22:16:59
500aae7c-5ae9-4427-43b7-2e8da834ac48,PT Mandiri Sentosa 27,corp027@example.co.id,02162094973,ID,P33,C3374,D33742,True,False,NIB,2004-05-01,Rizky Hidayat,6798052647823,2024-11-21 07:31:28,2024-11-21 14:30:34
372c1aba-ef22-be6e-3b74-42ac0f22af6e,PT Sejahtera Nusantara 28,corp028@example.co.id,02172287083,ID,P35,C3515,D35158,False,True,NIB,10/1997,Fajar Lestari,9108776539595,2024-08-28 18:30:50,2024-08-28 10:13:33
a4da9309-26f9-e0ad-3c98-53c09d86624a,PT Mandiri Sentosa 29,corp029@example.co.id,02143167803,ID,P12,C1212,D12126,True,False,NIB,05/2019,Budi Setiawan,6611462246614,2024-10-08 22:42:51,2025-02-13 10:03:03
